Artist Name ,,Influenced Whom ,Change to rows
Amedeo Modigliani,",",Frida Kahlo,
Amrita Sher-Gil,",",Arpita Singh,
Amrita Sher-Gil,",",S. H. Raza,
Antoni Tàpies,",",John Olsen,
Christian Krohg,",",Edvard Munch,
Constantin Brancusi,",",Alberto Giacometti,
David Alfaro Siqueiros,",",Satish Gujral,
Diego Rivera,",",Satish Gujral,
Diego Velázquez,",",Salvador Dali,
Diego Velázquez,",",Francis Bacon,
Donatella,",",Michelangelo,
Édouard Manet,",",Vincent Willem van Gogh,
Edvard Munch,",",Egon Schiele,
Edvard Munch,",",Erich Heckel,
Edvard Munch,",",Max Beckmann,
Francis Bacon,",",Julian Schnabel,
Francis Bacon,",",Damien Hirst,
Georges Seurat,",",Vincent Willem van Gogh,
Giorgio de Chirico,",",Frida Kahlo,
Gustav Klimt,",",Egon Schiele,
Gustav Klimt,",",Oskar Kokoschka,
Henri Émile Benoît Matisse,",",Margaret Rose Preston,
Jean Dubuffet,",",John Olsen,
Joan Miró,",",John Olsen,
Johannes Vermeer,",",Salvador Dali,
John Smibert,",",John Singleton Copley,
Katsushika Hokusai,",",Oscar-Claude Monet,
Kitagawa Utamaro,",",Henri de Toulouse-Lautrec,
Kitagawa Utamaro,",",Mary Stevenson Cassatt,
Leonardo da Vinci,",",Andy Warhol,
Lorenzo Ghiberti,",",Donatella,
Marcel Duchamp,",",Frida Kahlo,
Max Ernst,",",Frida Kahlo,
Max Jacob,",",Frida Kahlo,
Mi Fu,",",Jeong Seon,
Pablo Picasso,",",Paul Klee,
Pablo Picasso,",",Salvador Dali,
Pablo Picasso,",",Frida Kahlo,
Pablo Picasso,",",Francis Bacon,
Paul Cezanne,",",Henri Émile Benoît Matisse,
Paul Cezanne,",",Pablo Picasso,
Paul Cézanne,",",Amrita Sher-Gil,
Paul Cézanne,",",Margaret Rose Preston,
Paul Gauguin,",",Amrita Sher-Gil,
Paul Gauguin,",",Margaret Rose Preston,
Peter Pelham,",",John Singleton Copley,
Pierre-Auguste Renoir,",",Vincent Willem van Gogh,
Raphael,",",Salvador Dali,
Rembrandt van Rijn,",",Georges Seurat,
René François Ghislain Magritte,",",Andy Warhol,
René François Ghislain Magritte,",",Jasper Johns,
René François Ghislain Magritte,",",John Baldessari,
Shen Zhou,",",Wen Zhengming,
Titian,",",El Greco,
Utagawa Hiroshige,",",Edgar Degas,
Vincent Willem van Gogh,",",Brett Whiteley,
Vincent Willem van Gogh,",",Emil Nolde,
Vincent Willem van Gogh,",",Henri Émile Benoît Matisse,
Vincent Willem van Gogh,",",Francis Bacon,
Wang Shimin,",",Wang Hui,
Xia Chang,",",Wen Zhengming,